Token ID,Owner Address,Attribute role,Attribute luck,Attribute head,Attribute upperbody,Attribute lowerbody,Attribute face,Attribute figure,Attribute skin,Attribute bg,Attribute expression,Attribute skill 1,Attribute skill 2,Attribute power,Attribute token id,Attribute star,Attribute level,Attribute hatch num,Attribute vitality,Attribute free chance,Attribute used hatch num,Attribute mood
1426,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Bill Duck,345,Hippie Helmet,Hippie Vest,Hippie Pants,,,Pink Bill Duck,Blue,,,,,,,,,,,,
1427,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Bill Duck,336,Hippie Helmet,Hippie Vest,Purple Pnats,Captain's Beard,Tattoo,Pink Bill Duck,Orange,,Increase win rate in all game modes in percentage,Increase power in percentage if all characters in the team are different,667,1427,2,30,3/3,100,3/3,,
1428,0x49C233D25768E462F0474390F653BAF40DD592b2,Ashe,86,Flower,,Red Sneaker,,Arrow Face,,Orange,,,,,,,,,,,,
1429,0x9fb4558504EeeCA4F9be005E88105d1FABb0242F,Claude,369,Dreadlocks,Hip Hop Jacket,Hip-Hop Sneakers,,Rainbow,Forgiving Claude,Grey,,,,,,,,,,,,
1430,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Bill Duck,492,Hippie Helmet,Hippie Vest,Hippie Pants,Captain's Beard,Heart,Pink Bill Duck,Blue,,,,,,,,,,,,
1431,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Ashe,226,Bee Tentacles,Fish Bikini,Bee Bottom,,,,Orange,,Increase match revenue in percentage for each fish character in the team,Increase power in percentage with all star characters in percentage,471,1431,1,20,3/3,,3/3,,
1432,0x9bd104AE1b89268571456d6675818D0c968733DD,Patty,388,Skeleton Kerchief,Star Backpack,Leather Boots,Goatee,Facial Design,Noble Patty,Grey,,Increase power in percentage with all fish characters in percentage,Increase Coins earned from Guardian Scene in percentage,769,1432,3,30,5/5,40,0/3,,
1433,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Pop,498,Martin's Antenna,Colorful Top,Colorful Pants,Golden Beard,Lower Eye Lashes,Desert Pop,Orange,,Increase win rate in all game modes in percentage,Increase basic power in value,503,1433,1,30,3/3,76,3/3,,
1434,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Pop,630,Dome with Diamond,Gold Glitter,Treasure Boots,Golden Beard,,Desert Pop,Grey,,Increase basic power in percentage,Increase win rate in Horror Scene in percentage,510,1434,2,28,4/4,64,3/3,,
1435,0x9E6C393177534488A0A60c5d36FAB538aE155561,Patty,198,Viking Helmet,Viking Armor,Yellow Shorts,Cardboard mask,,,Orange,,,,179,1435,1,1,3/3,100,3/3,,
1436,0xeEE9841386820d7f7f6659E53C1e44C8E8016444,Ashe,342,Bee Tentacles,Bee Top,Bee Bottom,,Arrow Face,Optimistic Ashe,Grey,,,,,,,,,,,,
1437,0x36bbC2fd501807762D87fF3Ea974B99076227E0b,Ashe,146,,,Red Shorts,Flower Hairpin,Arrow Face,Intellectual Ashe,Bluish Grey,,,,,,,,,,,,
1438,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Ashe,232,Lantern Fish Hood,Bee Top,Bee Bottom,,Shy Face,,Bluish Grey,,Increase power in percentage for each fish character in the team,Increase Coins earned from Team Mode in percentage,573,1438,2,21,3/3,56,0/3,,
1439,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Bill Duck,326,Quiff,Hippie Vest,Hippie Pants,Rock Shades,Tattoo,Pink Bill Duck,Bluish Grey,,Increase win rate in Casual Mode in percentage,Increase power in percentage with all fish characters in percentage,567,1439,1,30,3/3,76,3/3,,
1440,0x9E6C393177534488A0A60c5d36FAB538aE155561,Bill Duck,308,Antler Straw Hat,Hippie Vest,Hippie Pants,Rock Shades,Tattoo,Ocean Bill Duck,Orange,,,,187,1440,1,1,3/3,100,3/3,,
1441,0x8ea212B0a4b830969bC17e136B761132373732A9,Bill Duck,288,Antler Straw Hat,Hippie Vest,Hippie Pants,Rock Shades,Tattoo,Pink Bill Duck,Blue,,,,,,,,,,,,
1442,0x001Ec98297782a5F98a6134324A8a71Fa0EDa9C1,Ashe,236,Flower,Bee Top,Bee Bottom,Heart Glasses,Arrow Face,,Orange,,,,276,1442,1,1,3/3,100,0/3,,
1443,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Bill Duck,446,Parrot Tricorne,Captain's Uniform,Hippie Pants,Captain's Beard,Tattoo,Ocean Bill Duck,Blue,,Increase Coins earned from Joyous Scene in percentage,Increase power in percentage for each cloud character in the team,814,1443,3,30,5/5,70,3/3,,
1444,0x3C9B5dCe6f8D7355B9a16F227DCD3b7E006a0aE1,Ashe,118,,,Lantern Fish Tail,,,Gentle Ashe,Grey,,,,,,,,,,,,
1445,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Ashe,462,Bee Tentacles,Bee Top,Bee Bottom,Heart Glasses,Arrow Face,Intellectual Ashe,Orange,,Increase win rate in Story Mode in percentage,Increase match revenue in percentage for each fish character in the team,616,1445,2,26,3/3,64,3/3,,
1446,0x49C233D25768E462F0474390F653BAF40DD592b2,Bill Duck,142,Hippie Helmet,,Purple Pnats,,,Pink Bill Duck,Orange,,,,,,,,,,,,
1447,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Ashe,126,Lantern Fish Hood,Bib,,,,,Bluish Grey,,Increase win rate in Horror Scene in percentage,Increase Coins earned from Team Mode in percentage,418,1447,1,30,2/2,88,3/3,,
1448,0x9bd104AE1b89268571456d6675818D0c968733DD,Patty,507,Viking Helmet,Viking Armor,Viking Boots,Goatee,Facial Design,Gloomy Patty,Orange,,Increase Coins earned from Ancient Scene in percentage,Increase power in percentage for each duck character in the team,602,1448,2,30,3/3,56,0/3,,
1449,0x152B9B77Ea961871b58EAD461054752cBF072Bc7,Ashe,240,Bee Tentacles,Red Boxing Gloves,Bee Bottom,,,Gentle Ashe,Bluish Grey,,Increase Coins earned from Frigid Scene in percentage,Increase win rate in Horror Scene in percentage,461,1449,1,30,3/3,100,0/3,,
1450,0x06fA9aC31914C51c7cF47bE60A234FC1799F35cd,Bill Duck,126,Hippie Helmet,,,,Heart,Pink Bill Duck,Grey,,,,,,,,,,,,
1451,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Bill Duck,252,Parrot Tricorne,Hippie Vest,Hippie Pants,,,Evil Bill Duck,Grey,,Increase win rate in Casual Mode in percentage,Increase power in percentage for each dinosaur character in the team,435,1451,1,20,3/3,88,3/3,,
1452,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Claude,226,Dreadlocks,Hip Hop Jacket,Blue Shorts,,Stubble,Forgiving Claude,Orange,,Increase power in percentage for each cloud character in the team,Increase power in percentage for each cloud character in the team,337,1452,1,20,3/3,88,3/3,,
1453,0xc6de33F747CE9dc5F2B8137532f38405E656F697,Claude,658,Wide-mouth Kraken,Tentacle Skirt,Tentacle Feet,Awe-inspiring,Rainbow,Simplex Claude,Bluish Grey,,Increase match revenue in percentage for each cloud character in the team,Increase power in percentage for each star character in the team,808,1453,3,30,4/4,100,0/3,,
1454,0x1c0281918A86Af0152E7D0dA2fd6d10b7aD6796a,Bill Duck,142,,Shell Necklace,Hippie Pants,Rock Shades,,,Grey,,,,,,,,,,,,
1455,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Claude,128,,Tentacle Skirt,Blue Sneaker,,,,Orange,,,,,,,,,,,,
1456,0x152B9B77Ea961871b58EAD461054752cBF072Bc7,Bill Duck,140,Antler Straw Hat,Shell Necklace,Purple Pnats,,Heart,Pink Bill Duck,Grey,,Increase win rate in Team Mode in percentage,Increase match revenue in percentage for each duck character in the team,507,1456,1,20,2/2,64,0/3,,
1457,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Ashe,124,Red Boxing Helmet,,Red Sneaker,,Shy Face,,Orange,,,,,,,,,,,,
1458,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Claude,658,Wide-mouth Kraken,Tentacle Skirt,Tentacle Feet,Awe-inspiring,Rainbow,Simplex Claude,Grey,,Increase match revenue in percentage for each fish character in the team,Increase win rate in Horror Scene in percentage,495,1458,1,30,4/4,88,3/3,,
1459,0x81B1A210Ec35c352A4C4E63D5e9E1D905bef738d,Pop,212,Martin's Antenna,Colorful Top,Striped Pants,,Upper Eye Lashes,,Bluish Grey,,,,,,,,,,,,
1460,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Ashe,222,Red Boxing Helmet,Bee Top,Bee Bottom,,,Optimistic Ashe,Orange,,Increase match revenue in percentage for each cloud character in the team,Increase power in percentage with all dinosaur characters,419,1460,1,24,3/3,100,3/3,,
1461,0xaE245cAb725cebB2CcFEb996718e63c7b98E5d1B,Bill Duck,828,Parrot Tricorne,Captain's Uniform,Exclusive Boots,Captain's Beard,,Evil Bill Duck,Orange,,Increase win rate in Team Mode in percentage,Increase win rate in Ancient Scene in percentage,550,1461,1,30,5/5,64,0/3,,
1462,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Bill Duck,136,Antler Straw Hat,Maple Leaf Jacket,Hippie Pants,,,Evil Bill Duck,Bluish Grey,,Increase basic power in percentage,Increase power in percentage if all characters in the team are different,622,1462,1,30,2/2,76,3/3,,
1463,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Claude,240,Dreadlocks,Blue Boxing,Hip-Hop Sneakers,,,Simplex Claude,Blue,,Increase Coins earned from Guardian Scene in percentage,Increase power in percentage with all duck characters,615,1463,1,30,3/3,76,3/3,,
1464,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Pop,393,Martin's Antenna,Colorful Top,Colorful Pants,Golden Beard,,,Blue,,Increase match revenue in percentage for each star character in the team,Increase power in percentage for each duck character in the team,529,1464,1,30,3/3,88,3/3,,
1465,0x37556464D037536a0603FC824073D34E9893c880,Patty,304,Viking Helmet,Viking Armor,Leather Boots,,Facial Design,Noble Patty,Blue,,,,,,,,,,,,
1466,0x001Ec98297782a5F98a6134324A8a71Fa0EDa9C1,Pop,266,Martin's Antenna,Colorful Top,Purple Slipper,Golden Beard,,Organic Pop,Bluish Grey,,,,331,1466,1,1,3/3,100,0/3,,
1467,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Patty,256,Cow Horn Tiara,Viking Armor,Viking Boots,Goatee,,Gloomy Patty,Bluish Grey,,Increase Coins earned from Horror Scene in percentage,Increase Coins earned from Horror Scene in percentage,430,1467,1,25,0/3,76,3/3,,
1468,0x37556464D037536a0603FC824073D34E9893c880,Claude,136,Boxing Helmet,,,,Stubble,Simplex Claude,Grey,,,,,,,,,,,,
1469,0x001Ec98297782a5F98a6134324A8a71Fa0EDa9C1,Ashe,320,Red Boxing Helmet,Red Boxing Gloves,Lantern Fish Tail,Flower Hairpin,,Intellectual Ashe,Orange,,Increase power in percentage with all duck characters,,367,1469,1,18,4/4,88,0/3,,
1470,0xA4419998894309C13cCF3a58E2057D825D8d840b,Claude,609,Wide-mouth Kraken,Tentacle Skirt,Tentacle Feet,Awe-inspiring,Rainbow,Excited Claude,Blue,,,,,,,,,,,,
1471,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Bill Duck,244,Antler Straw Hat,Hippie Vest,Hippie Pants,Rock Shades,,Pink Bill Duck,Grey,,Increase win rate in Story Mode in percentage,Increase match revenue in percentage for each star character in the team,540,1471,1,30,3/3,76,3/3,,
1472,0x8C54e6b726464edC23d8F1aEf1d82C5B05e6ec36,Pop,288,Martin's Antenna,Colorful Top,Striped Pants,Golden Beard,,Sky Pop,Orange,,,,,,,,,,,,
1473,0x1c0281918A86Af0152E7D0dA2fd6d10b7aD6796a,Bill Duck,144,,Hippie Vest,,Rock Shades,,Evil Bill Duck,Bluish Grey,,,,,,,,,,,,
1474,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Patty,393,Viking Helmet,Viking Armor,Viking Boots,Cardboard mask,,Noble Patty,Blue,,Increase power in percentage for each dinosaur character in the team,Increase power in percentage with all fish characters in percentage,596,1474,1,30,3/3,,3/3,,
1475,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Patty,418,Skeleton Kerchief,Viking Armor,Leather Boots,Goatee,Lightning,Noble Patty,Orange,,Increase match revenue in percentage for each cloud character in the team,Increase Coins earned from Casual Mode in percentage,566,1475,1,30,5/5,100,3/3,,
1476,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Claude,148,,Hip Hop Jacket,Blue Shorts,,Stubble,Forgiving Claude,Bluish Grey,,Increase win rate in Horror Scene in percentage,Increase power in percentage for each star character in the team,462,1476,1,26,2/2,52,3/3,,
1477,0xc3802DC1432a8F731946C9eBD73F1281a7E23212,Patty,357,Viking Helmet,Viking Armor,Viking Boots,,Lightning,Gloomy Patty,Orange,,,,,,,,,,,,
1478,0x7FBbBddd2faD3FeB9AA3d5A8bCf776cd320152a4,Patty,446,Skeleton Kerchief,Pirate Trenchcoat,Viking Boots,Goatee,Facial Design,Noble Patty,Orange,,Increase basic power in percentage,Increase win rate in Frigid Scene in percentage,530,1478,2,30,5/5,78,0/3,,
1479,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Claude,62,,,Blue Shorts,,Stubble,Excited Claude,Blue,,,,,,,,,,,,
1480,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Ashe,150,Lantern Fish Hood,,Red Shorts,,Arrow Face,Optimistic Ashe,Bluish Grey,,Increase match revenue in percentage for each dinosaur character in the team,,428,1480,1,15,2/2,,3/3,,
1481,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Patty,60,,Carton,Yellow Slipper,,,,Blue,,Increase basic power in value,Increase power in percentage for each fish character in the team,382,1481,1,20,2/2,100,3/3,,
1482,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Pop,140,Dome with Diamond,,,,,Desert Pop,Bluish Grey,,Increase Coins earned from Ancient Scene in percentage,,448,1482,1,15,2/2,100,3/3,,
1483,0x62ADB8f535a19C1fdf24f86F6Eba50857d37Fa3E,Pop,82,,Shell Necklace,,,,Desert Pop,Blue,,,,,,,,,,,,
1484,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Bill Duck,122,,,Exclusive Boots,,Heart,Evil Bill Duck,Bluish Grey,,,,,,,,,,,,
1485,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Claude,40,,,Blue Sneaker,,,,Orange,,,,,,,,,,,,
1486,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Claude,134,Wide-mouth Kraken,,,Dali-style beard,,Excited Claude,Bluish Grey,,Increase win rate in Story Mode in percentage,Increase power in percentage if all characters in the team are different,475,1486,1,20,2/2,,3/3,,
1487,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Patty,417,Viking Helmet,Viking Armor,Viking Boots,Cardboard mask,Facial Design,Gloomy Patty,Orange,,,,,,,,,,,,
1488,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Bill Duck,522,Hippie Helmet,Hippie Vest,Hippie Pants,Captain's Beard,Heart,Ocean Bill Duck,Orange,,,,,,,,,,,,
1489,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Patty,102,,,Yellow Slipper,Cardboard mask,Facial Design,Gloomy Patty,Grey,,,,,,,,,,,,
1490,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Ashe,122,Flower,Bee Top,,,Shy Face,,Blue,,,,,,,,,,,,
1491,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Pop,152,Nightcap,Shell Necklace,Striped Pants,,Upper Eye Lashes,Sky Pop,Blue,,,,,,,,,,,,
1492,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Patty,417,Viking Helmet,Viking Armor,Viking Boots,Cardboard mask,Lightning,Lava Patty,Orange,,Increase win rate in Joyous Scene in percentage,Increase win rate in Story Mode in percentage,470,1492,1,25,3/3,,3/3,,
1493,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Patty,150,Viking Helmet,Star Backpack,,,,Noble Patty,Grey,,Increase Coins earned from Joyous Scene in percentage,,254,1493,1,11,2/2,,3/3,,
1494,0x9dd60f05efdFA305b137BB06919A23Fc66a95509,Patty,72,,,Yellow Shorts,,Lightning,Gloomy Patty,Orange,,,,,,,,,,,,
1495,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Ashe,294,Red Boxing Helmet,Bee Top,Bee Bottom,Flower Hairpin,Shy Face,Optimistic Ashe,Blue,,,,,,,,,,,,
1496,0x1ddc3ee3aBBBB536a1948dBf3638641365d08438,Bill Duck,144,Quiff,,Hippie Pants,,,Evil Bill Duck,Blue,,,,,,,,,,,,
1497,0xeD2326b9107399Fcf04E264b07beCcF3d8d35347,Bill Duck,152,Hippie Helmet,,Purple Pnats,,Tattoo,,Orange,,,,,,,,,,,,
1498,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Claude,232,Dreadlocks,Tentacle Skirt,Hip-Hop Sneakers,,Stubble,,Blue,,Increase win rate in Casual Mode in percentage,Increase Coins earned from Ancient Scene in percentage,413,1498,1,20,3/3,100,3/3,,
1499,0x4b4e95E0BA52f3441ea4a9F0f476aA2D3500414C,Claude,128,,,Blue Shorts,Awe-inspiring,Stubble,Excited Claude,Blue,,Increase basic power in value,Increase win rate in Ancient Scene in percentage,506,1499,1,22,2/2,40,3/3,,
1500,0x686605bC5f5eb68478d5798Cf0e0e19Ee50A0fD5,Pop,114,,Shell Necklace,,Sleeping Eye Mask,,Desert Pop,Orange,,,,,,,,,,,,
1501,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Claude,351,Dreadlocks,Hip Hop Jacket,Hip-Hop Sneakers,Dali-style beard,Stubble,,Blue,,Increase Coins earned from Joyous Scene in percentage,Increase match revenue in percentage for each star character in the team,647,1501,2,30,3/3,56,3/3,,
1502,0xc3802DC1432a8F731946C9eBD73F1281a7E23212,Ashe,144,Flower,,Red Sneaker,Heart Glasses,Arrow Face,Optimistic Ashe,Blue,,,,,,,,,,,,
1503,0x37556464D037536a0603FC824073D34E9893c880,Bill Duck,294,Hippie Helmet,Hippie Vest,Hippie Pants,,,,Grey,,,,,,,,,,,,
1504,0x00D9CC7f448a2878f7fC7d80882F123CD356Bf32,Claude,641,Wide-mouth Kraken,Tentacle Skirt,Tentacle Feet,Awe-inspiring,Rainbow,Forgiving Claude,Grey,,,,,,,,,,,,
1505,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Bill Duck,132,Antler Straw Hat,,Hippie Pants,,Heart,Evil Bill Duck,Orange,,Increase match revenue in percentage for each duck character in the team,Increase win rate in Horror Scene in percentage,549,1505,1,27,0/2,76,3/3,,
1506,0x001Ec98297782a5F98a6134324A8a71Fa0EDa9C1,Claude,38,Devil's Horn,,,,,,Grey,,Increase power in percentage with all dinosaur characters,,383,1506,1,11,2/2,100,0/3,,
1507,0x9d2605dd2e665EbB24520589e915003743A9e198,Ashe,110,Flower,,Red Sneaker,,Shy Face,Intellectual Ashe,Blue,,,,,,,,,,,,
1508,0x384d3074A4aEc2C783C0Fea1b81198b250b0eE6B,Bill Duck,507,Hippie Helmet,Hippie Vest,Hippie Pants,Captain's Beard,Heart,Ocean Bill Duck,Grey,,,,,,,,,,,,
1509,0x37556464D037536a0603FC824073D34E9893c880,Bill Duck,276,Hippie Helmet,Hippie Vest,,Captain's Beard,Heart,Pink Bill Duck,Bluish Grey,,,,,,,,,,,,
1510,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Claude,384,Dreadlocks,Hip Hop Jacket,Hip-Hop Sneakers,,Rainbow,Simplex Claude,Bluish Grey,,Increase basic power in value,Increase power in percentage with all star characters in percentage,689,1510,2,30,3/3,64,3/3,,
1511,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Patty,136,Viking Helmet,,Yellow Shorts,Cardboard mask,Lightning,,Grey,,Increase power in percentage with all star characters in percentage,,360,1511,1,14,2/2,70,3/3,,
1512,0x786cAbb5E602D47Dc8365eF014412d6e4ee63427,Patty,146,Grass,Carton,Yellow Shorts,Cardboard mask,,Lava Patty,Grey,,,,,,,,,,,,
1513,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Pop,328,Dome with Diamond,Gold Glitter,Colorful Pants,Golden Beard,,Sky Pop,Orange,,,,415,1513,1,9,4/4,70,3/3,,
1514,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Bill Duck,456,Hippie Helmet,Hippie Vest,Hippie Pants,Captain's Beard,Heart,,Orange,,Increase power in percentage with all duck characters,Increase Coins earned from Sweet Scene in percentage,539,1514,2,30,3/3,78,3/3,,
1515,0x177EEC533F3604216f834021a194c8888C3F2216,Pop,152,Nightcap,,Treasure Boots,Sleeping Eye Mask,Upper Eye Lashes,,Orange,,,,,,,,,,,,
1516,0x9E6C393177534488A0A60c5d36FAB538aE155561,Ashe,152,Flower,Bib,Bee Bottom,,Arrow Face,Optimistic Ashe,Blue,,Increase power in percentage for each dinosaur character in the team,Increase power in percentage with all star characters in percentage,494,1516,1,24,2/2,64,3/3,,
1517,0xdA10bcCE794F5c080d25EA9f2E9Adc9f112D4360,Patty,62,,,Yellow Slipper,,Lightning,Gloomy Patty,Bluish Grey,,Increase win rate in Horror Scene in percentage,,213,1517,1,10,2/2,94,3/3,,
1518,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Bill Duck,146,,Shell Necklace,Exclusive Boots,,,Evil Bill Duck,Orange,,Increase Coins earned from Story Mode in percentage,Increase Coins earned from Knock-out Mode in percentage,443,1518,1,24,2/2,88,3/3,,
1519,0xdda83AAC8c6F71D5FA512Fc350E8a35E33313b88,Bill Duck,128,Antler Straw Hat,Shell Necklace,,,Heart,Ocean Bill Duck,Blue,,,,,,,,,,,,
1520,0x152B9B77Ea961871b58EAD461054752cBF072Bc7,Ashe,124,Red Boxing Helmet,,Red Shorts,,Arrow Face,,Orange,,Increase Coins earned from Guardian Scene in percentage,,315,1520,1,16,2/2,76,0/3,,
1521,0xb8D901123e335e67A7A44c0C155E97A2Eb42Ff0F,Pop,276,Martin's Antenna,Gold Glitter,Colorful Pants,,Upper Eye Lashes,Desert Pop,Bluish Grey,,,,,,,,,,,,
1522,0x79dB77B84A811ceD34651dCe941dFb707a8b9e8b,Claude,132,,Belt,Blue Sneaker,Dali-style beard,Stubble,Forgiving Claude,Blue,,,,,,,,,,,,
1523,0x79dB77B84A811ceD34651dCe941dFb707a8b9e8b,Claude,599,Wide-mouth Kraken,Tentacle Skirt,Tentacle Feet,Awe-inspiring,Rainbow,,Orange,,,,,,,,,,,,
1524,0xf7aaD2eFBEBa9e767231628f2AfCEe359217a9D6,Pop,54,,Shell Necklace,,,Upper Eye Lashes,,Bluish Grey,,,,,,,,,,,,
1525,0xD1cfc9B8d4039ec899aCe6E642b01C85B1E8643E,Claude,366,Dreadlocks,Hip Hop Jacket,Hip-Hop Sneakers,Dali-style beard,,Excited Claude,Orange,,,,,,,,,,,,
1526,0xD1cfc9B8d4039ec899aCe6E642b01C85B1E8643E,Patty,120,,Star Backpack,,Cardboard mask,Lightning,Noble Patty,Blue,,,,,,,,,,,,
1527,0xc57B64D63dc4602Bd16143B207c63b9b1A585921,Claude,342,Dreadlocks,Hip Hop Jacket,Hip-Hop Sneakers,,Stubble,Excited Claude,Blue,,,,,,,,,,,,
1528,0x7B36E570EEEB279359Ca621e18561B4F62Cee154,Claude,136,Dreadlocks,,Blue Sneaker,Dali-style beard,,Excited Claude,Blue,,,,,,,,,,,,
1529,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Bill Duck,274,Hippie Helmet,Shell Necklace,Hippie Pants,Captain's Beard,,Pink Bill Duck,Grey,,Increase Coins earned from Guardian Scene in percentage,,361,1529,1,10,3/3,94,3/3,,
1530,0x9cf34EDa5a85099B4E596a1ECE29D3E6dd330372,Claude,142,Devil's Horn,Tentacle Skirt,,,Rainbow,,Grey,,Increase basic power in value,Increase win rate in Story Mode in percentage,578,1530,1,27,2/2,,3/3,,
1531,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Patty,408,Viking Helmet,Pirate Trenchcoat,Leather Boots,Goatee,Lightning,Noble Patty,Grey,,Increase win rate in Single-player matches in percentage,Increase win rate in Single-player matches in percentage,458,1531,2,20,5/5,100,3/3,,
1532,0x8EC1518C5A26f8275EE7737045A8eb21E9415e26,Pop,444,Martin's Antenna,Colorful Top,Colorful Pants,Golden Beard,,Organic Pop,Blue,,Increase win rate in Story Mode in percentage,Increase power in percentage for each duck character in the team,454,1532,1,23,3/3,88,0/3,,
1533,0x297FdBa757E20D5b63fc110ff451BF3925dfcb6B,Bill Duck,86,,,,Rock Shades,Heart,,Orange,,Increase win rate in Joyous Scene in percentage,Increase power in percentage with all dinosaur characters,641,1533,2,29,1/2,100,,,
1534,0x297FdBa757E20D5b63fc110ff451BF3925dfcb6B,Patty,144,Viking Helmet,,Viking Boots,,Lightning,,Blue,,Increase win rate in Single-player matches in percentage,Increase win rate in Single-player matches in percentage,608,1534,2,29,1/2,100,,,
1535,0x5D22db0DDC365Dbdc0983441E2906D51855a142D,Claude,150,Devil's Horn,Blue Boxing,,,,Simplex Claude,Blue,,,,,,,,,,,,
1536,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Patty,429,Viking Helmet,Viking Armor,Viking Boots,Cardboard mask,Facial Design,Lava Patty,Bluish Grey,,Increase match revenue in percentage for each star character in the team,Increase match revenue in percentage for each star character in the team,608,1536,2,30,3/3,78,3/3,,
1537,0x5D22db0DDC365Dbdc0983441E2906D51855a142D,Pop,144,Nightcap,Colorful Top,Purple Slipper,,Lower Eye Lashes,,Bluish Grey,,,,,,,,,,,,
1538,0x8e452F436355b5730a8F4a6A41243fB1e41E5C6F,Patty,112,Cow Horn Tiara,,Viking Boots,Cardboard mask,,,Bluish Grey,,,,,,,,,,,,
1539,0x568A6b4872F0EE31Aee9820EEca5373Adf7EA221,Patty,126,,Carton,Yellow Shorts,Cardboard mask,,Lava Patty,Orange,,,,,,,,,,,,
1540,0xaD5eaeaA6eeA540DC1726bEee69031b42C7d7c5a,Bill Duck,549,Hippie Helmet,Hippie Vest,Hippie Pants,Captain's Beard,Tattoo,Ocean Bill Duck,Blue,,,,,,,,,,,,
1541,0xcEFf3D67DEcD04C1C6f1D4715db7886d09F92f88,Ashe,118,,Bee Top,,,Shy Face,Optimistic Ashe,Orange,,,,,,,,,,,,
1542,0x2d5daDB01A0FeC9449AeF1FB41192f589B6130A1,Claude,150,Devil's Horn,Belt,Blue Sneaker,,Stubble,Simplex Claude,Blue,,,,,,,,,,,,
1543,0xC0F1Be103919f8Dde1D6b4663D023FeAb636aD5F,Bill Duck,136,,Shell Necklace,Exclusive Boots,,,Evil Bill Duck,Bluish Grey,,,,,,,,,,,,
1544,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Pop,196,Martin's Antenna,Colorful Top,Striped Pants,,,,Bluish Grey,,Increase power in percentage for each duck character in the team,Increase win rate in Horror Scene in percentage,788,1544,3,30,3/3,70,3/3,,
1545,0x856cd5dc1b96cA1B25635A83A6c2a73f231999b1,Claude,80,,,,Dali-style beard,Stubble,Forgiving Claude,Bluish Grey,,,,,,,,,,,,
