Token ID,Owner Address,Attribute egg type,Attribute background,Attribute leaf,Attribute ear,Attribute fur,Attribute mouth,Attribute eye,Attribute hair,Attribute head accessory,Attribute hand accessory,Attribute foreground,Attribute hatched egg,Attribute eyebrows,Attribute face accessory,Attribute eye sparkle,Attribute clothing,Attribute left arm,Attribute right arm,Attribute 1 of 1
4198,0xa6e5ccD3231eba3E59D0e41a27761Ec0fE6DD497,,Gallery Blue,Rainbow,Normal,Rainbow,Smile,Bored,Rainbow,Blue Snapback,Mochi,,Lucky,Sad,Bite,,Purple Hoodie,,,
4199,0x969b9DaE85EfDC1aa14b42C89ec18DD79333C000,,Yellow,Purple,Excited,Light Brown,Passive,Bored,Brown,,Corn,,Common,Sad,,,Purple Hoodie,,,
4200,0xbF12af31014abAAa67A17A3483ff47dD772960fB,,Green,Purple,Normal,Heavy Grey,Sad,Bored,Grey,Star Glasses,Lit Lattern,Particles,Common,Sad,,,Pink Overalls,,,
4201,0xFcD29A0cdd8d0f833CE2c4A462C2442D0219b263,,Light Green,Red,Tired,Heavy Yellow,Scared,Tired,Yellow,Sparkle Cap,Doodle Book,,Lucky,Angry,,,Green Overalls,,,
4202,0x29233a3928efD4A9c42a8463F0B23FEBa30fb449,,Yellow,Pink,Excited,Light Dark,Yell,Crying,Dark,Blue Nightcap,Lit Lattern,,Common,Angry,,Big Sparkles,Purple Hoodie,,,
4203,0xa619295121E81Cdba3e7494B735a4099B0df5b8c,,Light Pink,Green,Tired,Light Grey,Passive,Crying,Grey,Maid Headband,Purple Brush,Fog,Lucky,,,Sparkles,Maid Apron,Peace Sign,,
4204,0xce1B76049fec7931dAE8e93eDA4308F7548594aA,,Light Pink,Gold,Tired,Gold,Tongue out,Determined,Gold,Sparkle Cap,,,Divine,,Blush,Sparkles,Teal Hoodie,,,
4205,0x8dD5884B332e1Ee405D0cd90fc424B2fE3D61bF6,,Teal,Blue,Normal,Light Yellow,Teeth Smile,Tired,Yellow,,,,Common,Surprised,,,Red Bandana,,Finger,
4206,0x93e38A540CDE2Dc83Db06AE56E2A6c337E1c8ec5,,Dark Grey,Blue,Normal,Heavy Dark,Passive,Determined,Dark,Towel,Taiyaki,Light Snow,Common,,Blue Pacifier,Sparkles,Towel,,,
4207,0x56Fb50ee9D19BCB9C9e4bC8e5704D1347f157d76,,Dark Grey,Gold,Normal,Gold,Yell,Determined,,Towel,FL Paddle,,Divine,,Clown nose,Sparkles,Towel,Finger,,
4208,0xE33224bfc818102d2550746f1d6Dd4074A3Fb444,,Red,Pink,Sad,Heavy Brown,Tongue out,Tired,Brown,,,Rain,Lucky,Pointy,,,Banana Onesie,,,
4209,0xAf4e30e1d4f6f5d394aB1106d4ce8497562Ee1CE,,Teal Sparkles,Red,,Heavy Yellow,Passive,Shocked,,Bear Head,Baguette,,Lucky,,Monocle,,,,,
4210,0xfD4f164D3621a8d424Cc1228C27aD399a70Ae251,Common,,,,,,,,,,,,,,,,,,
4211,0x6D32e8C4b82b0eEF20a8eDEF24ABc71E9EF41bA7,,Light Blue,Rainbow,Normal,Rainbow,Sad,Crying,Rainbow,Black Head Band,Cheese,,Lucky,,,Dot,Casual Kimono,,,
4212,0x85b5A812Bfc33a0a49961E7d1A0a7e4cA7Ec5799,,Dark Grey,Green,Normal,Light Grey,Passive,Determined,Grey,,,Particles,Common,,Eye Bags,Sparkles,,,,
4213,0xFd869119b5e82E790899A339F8d5A77036dF23B5,,Dark Grey,Red,Tired,Light Dark,Devious,Frown,Dark,Maid Headband,,Sakura,Common,,,,Maid Apron,,Finger,
4214,0x8dD5884B332e1Ee405D0cd90fc424B2fE3D61bF6,,Ronin Moon,Green,Normal,Light Dark,Teeth Smile,Determined,Dark,Black Head Band,,,Common,,,Sparkles,,,Peace Sign,
4215,0xFfC11A18CADfeFE0A4E075Af974271E2B5032Be2,Common,,,,,,,,,,,,,,,,,,
4216,0xe92db09388A09038ac81B933380f2e95505d4AB0,,Light Pink,Green,Normal,Heavy Brown,Sad,Crying,Brown,,,,Common,,,Watery,Straw Kimono,,,
4217,0x0d428F9c789d44314a72D5864EB8FC256E5D794b,,Pink,Teal,Tired,Light Moca,Teeth Smile,Crying,Moca,,,,Common,,White Round Glasses,Big Sparkles,Lemon Bag,,Peace Sign,
4218,0x8dD5884B332e1Ee405D0cd90fc424B2fE3D61bF6,,Light Pink,Green,Excited,Heavy Moca,Drool,Bored,Moca,,,,Common,,,,Banana Onesie,,,
4219,0x278d26Abf4C826E53eadC8F4D9123e3Db5059d04,,Light Green,Green,Tired,Heavy Grey,Passive,Relaxed,Grey,Black Beret,Rice Bowl,Light Snow,Common,,,,Blue Bandana,,,
4220,0x8E3fE95101A3a1fB79Ea4B09bd65FC16260e27d4,,Red,Yellow,Normal,Light Grey,Surprised,Crying,Grey,,Purple Cyberpunk Katana,Sakura,Common,,,Heart,Teal Hoodie,,,
4221,0xFAFDec62472cC6F27D2F7A9Fe88d237E89fa0B14,,Colorful Grid,Yellow,Normal,Light Moca,Open Smile,Round,Moca,White Chef Wrap,,,Lucky,,,Watery,White Bunny Bag,,Finger,
4222,0x0263b570BEb0a4E8d5285d23d662aFf5420da39E,,Light Yellow,Pink,Normal,Heavy Moca,Gasp,Tired,,Ice Pack,Purple Cyberpunk Katana,,Common,,,,Casual Kimono,,,
4223,0x37B44a42bF3Dc7509212118a9ab8FC383c365aba,,Light Grey,Red,Tired,Light Brown,Open Smile,Bored,Brown,,Red Rose,,Common,Sad,Annoyed,,,,,
4224,0xF4554F81f5EBc58193395f6cC49CcAdf31891E38,,Ronin Moon,Purple,Excited,Light Brown,Sad,Tired,Brown,Toilet Paper,Coconut,Particles,Lucky,Angry,,,Toilet Paper,,,
4225,0x1062bDaFd462F6C36bC8132884094A21a2870550,,Light Blue,Green,Sad,Light Yellow,Smile,Happy,Yellow,,,,Common,,Black Aviator,,,,,
4226,0x169Ed62ADd40D1609A9471809Cf175eaFCFE49C8,,Teal,Green,Excited,Heavy Moca,Drool,Shocked,Moca,Black Head Band,,,Common,Sad,Eye Bags,,Blue Artist Apron,,Peace Sign,
4227,0x47bC4fA50A0ad2038cF50e219a3f14C78f463252,,Blue,White,Sad,Light Dark,Devious,Relaxed,Dark,,Purple Cyberpunk Katana,,Lucky,,,,,,,
4228,0x0E9F0AE611777A113453bad802A7140f4d0e85fD,,Teal,Purple,Tired,Light Dark,Gasp,Determined,Dark,Heart Glasses,Pizza,Particles,Lucky,,,Dot,Teal Hoodie,,,
4229,0xFfC11A18CADfeFE0A4E075Af974271E2B5032Be2,Common,,,,,,,,,,,,,,,,,,
4230,0xE86Ed001916FD67945efc33aE88C223C7a5b7766,,Blue,Teal,Excited,Light Moca,Drool,Frown,,Pink Bunny Headband,,,Lucky,Sad,,,,,Peace Sign,
4231,0xa5F3E0E592cbA36DF62BcA0A875fA80f829e74C2,,Green,Gold,Sad,Gold,Teeth Smile,Frown,Gold,Toilet Paper,Shovel,,Divine,,,,Toilet Paper,Finger,,
4232,0x54071fbc168088AAB4E48Fdfc84466912BB3D0F2,,Purple,Blue,Sad,Light Dark,Devious,Round,,White Bunny Headband,,,Lucky,,,Sparkles,Purple Hoodie,,,
4233,0x8d5aB09062FA6553f655a4EcA782bb106e1de799,,Dark Grey,Rainbow,Normal,Rainbow,Sad,Round,Rainbow,,Eggplant,,Common,,,Big Sparkles,Rainbow Kimono,,,
4234,0x25e129cb28cb4A826E725a7606fAF296f8c97083,,Purple,Rainbow,Normal,Rainbow,Tongue out,Frown,Rainbow,Straw Hat,Doodle Book,,Divine,,,,,,Finger,
4235,0xF6aBd4469be1896EB764d572A7dFa6Fe393bD687,,Pink,Yellow,Normal,Light Moca,Disgust,Frown,,Black Head Band,Black Sensu,Sakura,Common,,,,Teal Hoodie,,,
4236,0x4B622f1d12924Aa4Eba6feEcb1c56320443F220B,,Light Pink,Pink,Excited,Light Brown,Teeth Smile,Happy,Brown,,,,Common,,Sunglasses,,,Finger,Peace Sign,
4237,0x2db780ffce84c82a9579a9bAb0313476FC52E789,,Light Green,Yellow,Sad,Light Grey,Scared,Frown,Grey,Gold Headband,Chocolate Milk,,Common,Angry,Blush,,Purple Hoodie,,,
4238,0x8dD5884B332e1Ee405D0cd90fc424B2fE3D61bF6,,Yellow Sparkles,Blue,Sad,Light Brown,Surprised,Round,Brown Long,,Blue Katana,Fog,Lucky,,,Dot,,,,
4239,0x8dD5884B332e1Ee405D0cd90fc424B2fE3D61bF6,,Teal Sparkles,Blue,Tired,Light Brown,Scared,Round,Brown,Blue Headband,Teal Phone,,Lucky,Sad,,Big Sparkles,Green Overalls,,,
4240,0xAfD0f2c98D49087158721094539bd321e111320B,,Pink,Blue,Excited,Heavy Moca,Scared,Determined,Moca,,,Rain,Common,,,Sparkles,,,Finger,
4241,0x7dcBd1bE0F82759B158B1af420eB9418Fa8E42e7,Divine,,,,,,,,,,,,,,,,,,
4242,0x54071fbc168088AAB4E48Fdfc84466912BB3D0F2,,Yellow,Green,Normal,Heavy Grey,Scared,Crying,Grey,Oni Mask,Gacha Ballz,,Common,,,Heart,Red Thin Scarf,,,
4243,0x19ec2414D694dEF3aC38B804F88b30E9A71E7D04,,Dark Blue,Blue,Sad,Heavy Moca,Open Smile,Crying,Moca,,Ketchup Knife,Particles,Common,Sus,,Sparkles,,,,
4244,0xDd2f9541c90ADdD99e2e32d971210BFc9769e97C,,Spirit Blue,Spirit,Normal,Spirit,Chubby,Determined,,,Daruma,,Common,,,Sparkles,Gold Kimono,,,
4245,0x2a0276d37AC7B946ceb953b9E6D32eC6D86F9f61,,Purple,Red,Tired,Light Brown,Tongue out,Tired,Brown,Red Headband,,,Lucky,Sus,Blush,,Green Overalls,,,
4246,0x17334e42a8B279e7974CdB87c74b8C7416Aa8C97,,Shadow Purple,Shadow,Normal,Shadow,Hmph,Spaced out,,Halo,Bananagasm,,Lucky,Angry,Scar,,,,,
4247,0x79A9ce26337D449eB304220d65220ADb2a4AA69a,,Light Yellow,Rainbow,Normal,Rainbow,Passive,Crying,Rainbow,Smiley Mask,Coffee,,Lucky,,Cucumber,Dot,Purple Hoodie,,,
4248,0xF729A1d1526E78cDbDE11BEB345568b2F255c8d0,,Purple,Green,Sad,Light Brown,Hmph,Bored,Brown,Pink Beret,Pizza,,Common,,Blush,,Mom Tattoo,,,
4249,0x8b1563434a4D047c3db8fE2A0AE41e29435ad89D,,Light Yellow,Teal,Excited,Light Moca,Gasp,Bored,Moca,Moki Cap,,Light Snow,Lucky,Sad,,,Blue Blanket,,,
4250,0x4445B6a46eCef3A7cE9f4067D0F4864764F9a574,,Red,Red,Sad,Light Moca,Teeth Smile,Round,Moca,Moki Cap,,Heavy Snow,Common,Surprised,,Big Sparkles,,Finger,Finger,
4251,0xf7462ED2F4804c7764372cc540fA8286C65eCA25,,Green,Green,Sad,Light Moca,Hmph,Round,Geisha,,Toilet Paper,,Lucky,Surprised,,Big Sparkles,Denim Vest,,,
4252,0x598e8bDe9D7A8d04d8bd265148bC0fc09220b8E2,,Colorful Grid,Rainbow,Normal,Rainbow,Devious,Happy,Rainbow,Fish Bone,,,Divine,,,,Samurai,,,
4253,0xBbb85d58669b252F90f89BE34ff4b26275D22c21,Common,,,,,,,,,,,,,,,,,,
4254,0x0d066B37fb569De1e52b495c211B92a56E0AEF90,,Purple,Blue,Normal,Light Yellow,Passive,Bored,Yellow,,Pink Net,,Common,Angry,Purple Round Glasses,,Teal Hoodie,,,
4255,0xfF25c7794b455108Fa6aADee4091d0Cd80D811D1,,Shadow Blue,Shadow,Normal,Shadow,Surprised,Bored,,Skull Mask,Silver Coin,,Divine,Bushy,,,Mom Tattoo,,,
4256,0x1B6fBFF5aCAc492B995A9E97b60E69C37c932bb5,,Green,Rainbow,Normal,Rainbow,Hmph,Tired,Blonde Long,,Sake Cup,Sakura,Divine,,,,,,,
4257,0x9B3d6073dce3Ce4Ac2431a27031bdDeCA5A38938,,Pink,Blue,Tired,Light Brown,Tongue out,Tired,Brown,Heart Glasses,Balloons,,Lucky,Surprised,Scar,,Casual Kimono,,,
4258,0x5555516Ec5f52BFb55B58C92b22942E709E811d2,,,,,,,,,,,,Divine,,,,,,,Starfluff
4259,0x944AA232c285740C604728cd898f13B6988EF7F8,,Dark Green,Onyx,Excited,Light Yellow,Surprised,Bored,Yellow,Blue Chef Wrap,Blue Teacup,Heavy Snow,Common,,,,Teal Hoodie,,,
4260,0x7F4d9592dEBA9CF0408b66257c6Fe0031257a1dC,,Ronin Moon,Green,Tired,Light Grey,Smile,Tired,Grey,,Bananagasm,Sakura,Common,,Teeth,,Purple Hoodie,,,
4261,0xAEe8Db69E292286871F29C0BeEcFB7d86b771d58,,Gallery Blue,Blue,,Heavy Brown,Smile,Determined,Brown,,Onigiri,Light Snow,Common,,Blush,Sparkles,Red Sleeveless,,,
4262,0x1Ad536d385144a270e370A4C84EaEcc47655Af1c,Common,,,,,,,,,,,,,,,,,,
4263,0x8D74C7c7E04CCBaB86cD16159F87a1EF7145D2aF,,Yellow Sparkles,Rainbow,Normal,Rainbow,Surprised,Bored,Rainbow,Straw Hat,,,Lucky,Sad,,,,,,
4264,0x39E866EafF515609fCc08d6d026836E691B6Cb9E,Common,,,,,,,,,,,,,,,,,,
4265,0x8dD5884B332e1Ee405D0cd90fc424B2fE3D61bF6,,Yellow Sparkles,Pink,Sad,Light Grey,Smile,Frown,,Pink Bunny Headband,Strawberry Milk,,Common,Sus,,,School Uniform,,,
4266,0x57B132cAb3261e1C6aDCa1746FE7F5523792cA05,,Dark Green,Rainbow,,Rainbow,Scared,Excited,Rainbow,,,,Common,,,,Red Sleeveless,,,
4267,0x417623296EBCd13FFFec58cf98562D3d6D210bA9,,Yellow,Blue,Sad,Heavy Moca,Tongue out,Round,Moca,,,,Common,,Sunglasses,Sparkles,Blue Blanket,,,
4268,0xB73C6456bC4e3045C3d71CbC4f46381A5BA11F3A,,Light Blue,White,Excited,Light Brown,Teeth Smile,Round,Brown,White Chef Wrap,Eggplant,,Common,,,Sparkles,Purple Hoodie,,,
4269,0xEbF629A5cca4279cc3896E277A5Eb8F1ceDC99a2,,Light Grey,Teal,,Light Moca,Yell,Bored,Moca,,Blue Wagasa,,Lucky,Bushy,,,White Sheep Onesie,,,
4270,0x45E104C2afA5F4578bD9bDBE586f2C14B5d10a1D,,Light Grey,Rainbow,Normal,Rainbow,Surprised,Tired,Rainbow,Pink Beret,Coxinha,Rain,Divine,,,,Purple Hoodie,,,
4271,0x675826FE6Cb464BEe7D381eDECCBef97fe00a33A,,Teal,Red,Excited,Light Yellow,Devious,Round,Yellow,,Ratz Ballz,,Lucky,Sus,Black Aviator,Sparkles,Pink Top,,,
4272,0x7418F4a3c3eebf639A798e6be1a5ABDEbc16AC30,,Light Pink,Blue,Tired,Light Brown,Open Smile,Shocked,Brown,,,,Lucky,Surprised,Blush,,Hula,,Peace Sign,
4273,0x0e734bb56Bb955198787DD046e46eAe53F2A8e0E,,Yellow Sparkles,Onyx,Sad,Light Yellow,Hmph,Crying,Yellow,Blue Snapback,Doodle Book,,Common,Sad,,Sparkles,,,,
4274,0x0fD88b2c40029c20c4a174FD136088cfa5329F04,,Gallery Blue,Green,Sad,Light Yellow,Yell,Bored,Yellow,Red Hat,Onigiri,,Common,Sad,Blush,,,,,
4275,0xb1Ae532C7dcFB31B12951Fd087E2E2370fFED0C9,,Blue,Yellow,Excited,Light Grey,Teeth Smile,Frown,Grey,Tie Dye Headband,Gacha Ballz,,Common,Sus,Cucumber,,Jiangshi,,,
4276,0x6Bc8E9AcB799bE03C63a456E3D782205aAeC9d53,,Yellow,Blue,Sad,Light Moca,Passive,Bored,,Frog Head,Cheese,Heavy Snow,Common,,,Dot,,,,
4277,0x76F42860766b62Dd8713dD9b37A0D48DfbA89C00,,Teal,Green,Sad,Heavy Brown,Passive,Bored,,,FL Bat,Particles,Lucky,,Purple Round Glasses,,Blue Overalls,,,
4278,0x07b298cEF47B71b6b53b1f8b5833d1B17118bA40,,Dark Blue,Green,Normal,Heavy Brown,Teeth Smile,Excited,Brown,Kitsune Mask,,,Common,Angry,,,Blue Duck Floatie,,,
4279,0x8d5aB09062FA6553f655a4EcA782bb106e1de799,,Grey,Purple,Tired,Heavy Moca,Chubby,Crying,Moca,,,,Common,,,Watery,Corn Onesie,,,
4280,0xCbfbee75931903C1B03363B08b30B646B29D452E,,Purple,Gold,Tired,Gold,Hmph,Bored,,Pink Bunny Headband,Pink Sensu,Particles,Divine,,,,,,,
4281,0x29A0B292d65E6449e24A1cE699878EA6309Fe308,,Green,Teal,Sad,Light Yellow,Surprised,Shocked,Yellow,Shiny Blue Glasses,Steamed Bun,Rain,Common,,,,Teal Hoodie,,,
4282,0x8d5aB09062FA6553f655a4EcA782bb106e1de799,,Dark Grey,Yellow,Sad,Light Yellow,Sad,Shocked,Yellow,Towel,,,Common,Sad,,,Towel,Finger,Peace Sign,
4283,0x8d5aB09062FA6553f655a4EcA782bb106e1de799,,Grey Sparkles,Green,Excited,Light Brown,Sad,Round,Brown,,,,Common,,,Big Sparkles,,,Finger,
4284,0x2E0eF58169ee77bdacCD19bF2850f1E56c3E94Df,,Light Grey,Yellow,Excited,Light Yellow,Smile,Happy,Yellow,White Shades,Lattern,,Common,,Blush,,,,,
4285,0x30F0E5F4a34A8441cFD7Ff327E4b13e2d7F156bb,,Light Green,Gold,Sad,Gold,Teeth Smile,Frown,Gold,Witch Hat,,,Common,,Eye Bags,Dot,Teal Hoodie,,,
4286,0xFD1a8e4851e64cc3F5D61FDF35FdCFf7047cfb75,,Gallery Grey,Green,Excited,Heavy Yellow,Tongue out,Bored,Pink Bob,,,,Common,Sad,,,,,Finger,
4287,0x1e3055B04C194d5E53D9939a1c55898648c9A1C8,,Pink,Teal,Excited,Light Grey,Chubby,Bored,,White Bunny Headband,Coffee,,Common,,Blue Pacifier,,Blue Bandana,,,
4288,0x6201Da2c0e6D9CbB82B8Dad67A5a25355cE4298C,,Purple,Purple,Normal,Light Moca,Sad,Shocked,Moca,Blue Chef Wrap,,,Common,Bushy,Eye Bags,,Casual Kimono,,,
4289,0xd614a153ab3812390F9610641a7CA5DD741fa156,,Blue,Green,Sad,Light Brown,Yell,Tired,Brown,Heart Glasses,Mochi,Light Snow,Common,,,,,Finger,,
4290,0x39584eF61c9eB28434a97F360513d6FD4C46F15A,,Light Blue,Green,Normal,Light Dark,Surprised,Round,Dark,Fish Bone,Doodle Book,Sakura,Common,,,Big Sparkles,,,,
4291,0x3D6643E34986f41Cf9f08B3D8a9CE56d8dF817b4,,Light Green,Green,Sad,Heavy Yellow,Teeth Smile,Excited,Yellow,Black Beret,Lit Lattern,,Lucky,Surprised,Scar,,,Finger,,
4292,0xAfD0f2c98D49087158721094539bd321e111320B,,Light Pink,Blue,Tired,Heavy Moca,Scared,Tired,Moca,,Ketchup Knife,,Lucky,Surprised,,,Red Bowtie,Peace Sign,,
4293,0x8d5aB09062FA6553f655a4EcA782bb106e1de799,,Purple Sparkles,Purple,Normal,Light Brown,Surprised,Determined,Brown,Big Bow,Corn,,Common,,Clown Paint,Dot,Mom Tattoo,,,
4294,0x798504E342be52AB34dE1c2FC0b26E6a254D4f18,,Colorful Grid,Green,Tired,Light Grey,Sad,Excited,Grey,,Bubble Tea,Heavy Snow,Common,,,,Vest,Finger,,
4295,0x6E6BBC16bAE820977ED7E7e3EafA36070cA669a9,,Yellow Sparkles,Green,Normal,Light Yellow,Scared,Determined,Yellow,Witch Hat,,,Lucky,,Pink Pacifier,Sparkles,Purple Hoodie,,,
4296,0x47723823A235B8d61Fd0f0B8DCA8fC80628Ca08e,,Red,Onyx,Sad,Light Moca,Yell,Tired,Moca,Skull Mask,Shepherds Crank,Particles,Common,Bushy,Eye Bags,,Blue Overalls,Peace Sign,,
4297,0x236a23da8B654e96F4A27A9AEA32aaB818220000,Common,,,,,,,,,,,,,,,,,,
4298,0x6fcD602596c03D7a00E626e6794c732bEA32fBb8,,Red,Green,Tired,Light Grey,Surprised,Determined,Grey,White Shades,Pizza,Rain,Common,,Bite,Sparkles,,,,
4299,0xE40b9121972dFCE7F9af4228288986717f26c3c4,,Dark Grey,Green,Normal,Heavy Yellow,Sad,Round,Yellow,Kitsune Mask,Gold Pipe,,Common,,,Big Sparkles,Casual Kimono,,,
4300,0x2AD14C57f33a2502A84B00f74448bC8e31033Eb5,Lucky,,,,,,,,,,,,,,,,,,
4301,0xd3FcBd2e9B7e2f06E20FAEd1dc9470B8A1e7A30c,,Green,Rainbow,Normal,Rainbow,Scared,Round,Rainbow,White Chef Wrap,Matcha Boba,Light Streaks,Common,,,Sparkles,,Peace Sign,,
4302,0xD4b027418b311DeF925940E380ab94846593f156,,Yellow Sparkles,Purple,Normal,Heavy Yellow,Smile,Tired,Yellow,,,Particles,Lucky,,Sunglasses,,Purple Hoodie,,,
4303,0x3A6cD853497d2c63354818c2E3556648150F0Ebf,,Purple,Green,Normal,Light Brown,Teeth Smile,Crying,Brown,,Sake Cup,Sakura,Lucky,Angry,,Heart,Pink Duck Floatie,,,
4304,0x39f43650835948A9c85CaD479d47D9C19EbAB8B4,,Gallery Grey,Red,Normal,Light Dark,Surprised,Excited,Dark,Blue Kanzashi,Regular Milk,,Common,,Moustache,,,Finger,,
4305,0x1Ad5Dd4682af9B99eE64a67caDd4B95870a86E77,,Ronin Aurora,Green,Normal,Heavy Yellow,Devious,Determined,Yellow,Smiley Mask,,Rain,Common,,,Sparkles,Teal Hoodie,,,
4306,0xc71ba3bB0EEc3c5A255FB3BCC7f0bfb1d6F29D64,,Yellow,Teal,Tired,Heavy Brown,Sad,Determined,Brown,,Fish,,Common,,Annoyed,Dot,Purple Hoodie,,,
4307,0xF255bFD88E3974E0a67cB9312666D3cd2DA7B9Df,,Purple,Purple,Normal,Light Grey,Devious,Round,Grey,Pink Beret,,,Lucky,Sad,Eye Bags,Heart,,,,
4308,0x6641B7c91F552dAAd910DaDe647c394742a3Cd39,,Light Green,Teal,,Light Yellow,Sad,Determined,Yellow,,Fishbone,,Lucky,,,Sparkles,Red Sleeveless,,,
4309,0x8A8302c83A2093cA08Ecc6Fd05DB4b6aeF1a4d5d,,Dark Blue,Pink,Normal,Light Dark,Drool,Happy,Dark,Smiley Mask,Yakitori,Talisman,Lucky,,,,Rainbow Kimono,,,
4310,0xbEb6fB448090DD89a6dE46bD53D6cfC17770d0FE,,Yellow Sparkles,Yellow,Sad,Heavy Grey,Surprised,Shocked,Grey,Doodiecap,Pencil,,Common,,,,Red Bowtie,,,
4311,0xb543695736A0FD12ec8B6F7e9a3e5Ee41bf864A3,,Dark Fog,Green,Sad,Light Yellow,Passive,Frown,Yellow,Pirate Bandana,Blue Cyberpunk Katana,,Lucky,Angry,,,Red Thin Scarf,,,
4312,0xd9D088405CD2f91ac85C94D3Bb86008B8B349305,,Blue,Red,Excited,Heavy Moca,Gasp,Determined,Moca,,Lattern,Anime Zoom,Common,,Bite,Sparkles,,,,
4313,0x640aab2299A40A8DbFeb1B3c93C4936B4f6b9a47,,Purple,Green,Normal,Heavy Moca,Teeth Smile,Frown,Moca,Sparkle Cap,Dango,Light Snow,Common,,,,Teal Hoodie,,,
4314,0xB22f7244C248240e31964e2E6546C4456Dab3dA3,Common,,,,,,,,,,,,,,,,,,
4315,0x9d26b2312a48ce4c01E7F3EE46bf32928b7f4c97,,Grey Sparkles,Gold,Normal,Gold,Smile,Crying,Gold,,Fishbone,,Lucky,,,Big Sparkles,,,,
4316,0xE40b9121972dFCE7F9af4228288986717f26c3c4,,Light Green,Green,Sad,Heavy Yellow,Surprised,Bored,Yellow,Ronin,Black Katana,,Lucky,,,,Ronin,,,
4317,0x2e2EE6c906207260B938766E81ec0488Cc57061E,,Red,Purple,Excited,Light Dark,Teeth Smile,Frown,Dark,,,,Common,Sus,,,Avocado Onesie,,,
4318,0x7E84Da55B356435a8CcD3e988Bd6856d0C5cAF72,,Light Yellow,Green,Excited,Heavy Yellow,Surprised,Round,Yellow,,White Origami,,Common,,Purple Round Glasses,Watery,Casual Kimono,,,
4319,0x3DDA1453805F86C61F27d863F5178677526DD6CD,,Light Pink,Rainbow,Normal,Rainbow,Hmph,Determined,Rainbow,,Wood Brush,Talisman,Divine,,Eye Bags,Sparkles,Teal Hoodie,,,
4320,0x771434a03fdb4E2040f4D0f30f2A33742A46534F,,Gallery Grey,Rainbow,Normal,Rainbow,Tongue out,Bored,,Large Straw Hat,,Rain,Divine,,Battle Paint,,Straw Kimono,,,
4321,0x6FcAfca1B718ADFC59D111abDcfc7a25E5fb7C78,,Teal Sparkles,Yellow,Tired,Light Brown,Smile,Bored,Brown,,,,Common,Sus,,,,,,
4322,0x29fDd40F9Fe2E7Bc8A443fd8eaa84489Be91Ba52,,Dark Blue,Blue,Excited,Heavy Moca,Tongue out,Excited,Moca,Banana Hat,Ketchup Knife,,Common,,Blue Pacifier,,Teal Hoodie,,,
4323,0x7b49F722ff9b35F920ef482474De0c856a3A5737,,Light Pink,Red,Normal,Heavy Brown,Teeth Smile,Bored,Brown,Oni Mask,,Rain,Lucky,Angry,Scar,,School Uniform,,,
4324,0xd9D088405CD2f91ac85C94D3Bb86008B8B349305,,Grey,Rainbow,,Rainbow,Passive,Frown,,,Coconut,Rain,Lucky,Sad,,,Red Sleeveless,Peace Sign,,
4325,0x8dD5884B332e1Ee405D0cd90fc424B2fE3D61bF6,,Blue,Pink,Normal,Heavy Moca,Sad,Determined,Moca,Red Headband,Blue Net,,Common,,,Sparkles,Daimyo Kimono With Katanas,,,
4326,0x54071fbc168088AAB4E48Fdfc84466912BB3D0F2,,Light Yellow,Gold,Normal,Gold,Chubby,Frown,Gold,Tie Dye Headband,Jingu Bang,,Divine,,,,School Uniform,,,
4327,0xC320E5BF4a3E82e73d560C7e4F3FA2f32945c7fe,,Yellow Sparkles,Onyx,Tired,Heavy Grey,Yell,Happy,Grey,,,,Common,,,,Purple Hoodie,,,
4328,0x2db780ffce84c82a9579a9bAb0313476FC52E789,,Gallery Blue,Blue,Excited,Heavy Brown,Yell,Round,Brown,Black Head Band,FL Comic,Sakura,Common,Sus,,Watery,,,,
4329,0x4d713c39b426DACE96470De8A64D1caDe4A65d9C,,Light Blue,Teal,Excited,Light Brown,Scared,Crying,Brown,,,,Common,,,Watery,Emerald Hands,,,
4330,0xe2ADe6394Ee6A457A886946Afa3998544c43f8D8,,Teal,Rainbow,Normal,Rainbow,Surprised,Excited,Rainbow,,,,Lucky,Sus,,,,Finger,Peace Sign,
4331,0x2caa0A493605fa1D81Ca3087C9f57Bf2e441F1EA,Lucky,,,,,,,,,,,,,,,,,,
4332,0x00D93Cd7C1f8d11b31be003A74a9dD7F4d15556D,,Blue,Green,Tired,Heavy Moca,Teeth Smile,Frown,Moca,Banana Hat,Lit Lattern,,Lucky,Surprised,,,Jersey,Finger,,
4333,0xAA58a3A4D358f72BA17102792b5c83CE75816C83,,Light Green,Rainbow,Normal,Rainbow,Hmph,Spaced out,Rainbow,Red Headband,Capirinha,Anime Zoom,Lucky,Sus,Bite,,Teal Hoodie,,,
4334,0x46ad48776f8cF25c545BDB559f3D5d001172Ca4b,,Ronin Moon,Green,Normal,Heavy Grey,Hmph,Tired,Grey,Yellow Nightcap,Gacha Ballz,,Common,Surprised,,,,,,
4335,0xa715D6D4Eb023b9FCbe9a8285FDC13ee2DEa2ebB,,Grey,Blue,Normal,Light Brown,Teeth Smile,Determined,Brown,Pink Snapback,,,Common,,Blue Pacifier,Sparkles,Pink Top,,Peace Sign,
4336,0x65b43330029369F3DC5A31A99374407c0EfA51fb,,Pink,Red,Normal,Heavy Grey,Tongue out,Bored,Grey,Tie Dye Headband,Bronze coin,,Common,,Blush,,,,,
